,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
gma-miR1513c,0.104,-13.632,-0.0,0.166,0.002,0.19,-0.017,-0.507,0.109,-0.478,-0.376,0.107,-0.899,-0.002,0.066,0.194,4.288,0.004,0.16,-0.002,0.156,1.337,-0.085,-18.109,0.002,-0.011,0.0,0.044,0.018,-0.549,0.058,-0.548,-0.06,0.007,-3.372,-0.023,-0.118,-0.253,-13.443,0.001,-0.253,-0.02,-0.147,-2.705,-0.024,-39.123,-0.002,-0.078,0.001,0.012,-0.075,-0.121,-0.057,0.62,0.275,-0.039,-6.416,0.005,-0.086,-0.382,-21.95,0.0,-0.387,-0.022,-0.235,-4.233
gma-miR2109-5p,0.043,-14.403,0.001,0.111,0.008,0.278,-0.059,-1.649,-0.06,-2.306,-0.017,0.167,-1.671,0.001,0.136,0.057,-5.021,0.01,0.027,-0.005,0.117,-0.484,-0.013,17.661,-0.003,0.039,0.002,0.157,0.059,0.458,-0.02,2.49,0.003,0.0,2.505,-0.009,0.059,0.029,5.723,0.002,0.058,-0.002,-0.026,0.886,-0.014,-4.266,-0.003,0.083,-0.002,0.146,0.003,-0.856,0.045,0.927,0.384,-0.125,-0.857,-0.029,0.035,-0.072,-4.559,-0.002,-0.086,-0.006,-0.063,-0.782
osa-miR2920,0.17,0.288,0.001,0.045,0.008,0.17,0.297,-1.03,-0.083,-0.041,0.241,0.297,0.232,-0.001,0.0,0.026,-2.442,0.009,0.03,-0.001,0.045,-0.147,-0.057,-4.059,-0.006,-0.102,0.003,-0.057,0.062,-0.329,-0.376,0.943,0.505,0.062,-0.922,0.003,0.0,-0.149,-5.371,0.003,-0.098,0.001,-0.102,-1.31,-0.053,-5.411,0.0,-0.035,-0.001,-0.053,-0.145,0.642,-0.021,2.008,0.433,-0.145,-0.864,0.022,0.0,-0.039,3.073,-0.001,-0.033,0.001,-0.035,0.22
gma-miR5037c,0.148,-3.388,-0.002,0.148,0.011,0.383,0.0,-0.219,-0.016,-0.037,-1.012,0.247,0.164,-0.001,0.201,0.215,6.298,0.013,0.158,0.001,0.16,1.591,-0.078,1.833,-0.002,-0.02,-0.002,0.0,-0.118,-1.574,-0.112,-0.013,-0.151,-0.059,0.226,0.027,-0.039,-0.009,-0.788,-0.003,-0.006,0.004,-0.003,-0.148,-0.146,17.316,-0.001,-0.021,-0.013,-0.243,-0.25,-1.629,-0.086,3.552,-1.396,-0.215,2.775,0.021,-0.059,0.192,10.547,-0.018,0.179,0.002,0.125,2.076
gma-miR5371-5p,0.022,-5.357,0.001,0.147,0.003,0.247,-0.044,-0.301,-0.001,-0.277,-0.112,0.091,-0.269,-0.002,0.139,0.122,2.708,0.005,0.078,0.0,0.102,0.757,-0.213,7.939,0.002,0.099,-0.007,-0.167,-0.269,-0.28,0.169,-2.67,-1.062,-0.181,1.305,0.004,-0.108,0.053,1.85,-0.009,0.041,0.01,-0.018,0.594,0.009,-9.183,0.002,0.046,0.0,-0.158,0.102,0.823,-0.066,-3.817,-1.195,-0.074,-1.477,-0.017,-0.124,-0.05,-10.699,0.002,-0.069,-0.007,-0.05,-1.284
gma-miR5372,0.46,-10.912,-0.001,0.061,0.007,0.158,0.258,-0.72,-0.003,-0.307,0.098,0.177,-1.325,0.001,0.064,0.054,1.378,0.012,0.018,0.012,0.094,0.391,0.319,-0.06,-0.005,-0.047,0.001,-0.058,0.167,0.621,-0.015,-1.74,0.334,0.012,-0.279,-0.001,-0.076,-0.072,-5.223,0.004,-0.058,0.0,-0.088,-0.915,0.161,-5.613,0.006,-0.05,0.005,0.053,0.071,1.495,-0.102,-1.328,0.259,0.062,-1.082,0.02,0.003,-0.126,-11.316,0.004,-0.08,-0.006,-0.056,-2.045
gma-miR5377,0.127,-19.602,0.0,0.059,0.004,0.175,-0.009,-0.719,-0.109,-0.608,-0.085,0.059,-2.631,-0.001,-0.016,-0.003,-4.889,0.007,-0.046,0.003,0.027,-0.679,-0.167,-28.22,-0.005,-0.038,-0.002,-0.05,-0.064,0.603,-0.039,-5.826,-1.593,-0.064,-4.955,0.008,-0.233,-0.4,-14.352,-0.005,-0.367,0.003,-0.329,-3.225,-0.035,-7.537,0.003,-0.04,-0.004,-0.07,-0.02,0.764,0.039,-5.093,-1.898,-0.068,-1.438,0.034,0.053,-0.172,-11.101,-0.009,-0.133,0.019,-0.038,-2.143
gma-miR5378,0.09,-14.961,0.0,0.095,0.006,0.26,0.06,-1.041,-0.083,-0.08,0.25,0.11,-1.909,-0.001,0.14,-0.013,-3.918,0.009,-0.022,-0.003,0.025,-0.523,-0.068,3.114,0.002,0.047,0.001,0.079,-0.011,1.286,-0.092,-2.603,-1.013,-0.024,0.129,0.002,-0.063,-0.1,-4.132,0.002,-0.068,0.004,-0.132,-0.632,-0.072,5.295,-0.002,0.014,-0.002,-0.028,0.022,-0.226,0.048,-1.714,-1.426,-0.061,0.905,0.028,0.044,0.01,1.7,-0.003,0.022,0.016,-0.042,0.391
gma-miR159f-5p,0.161,-2.93,-0.003,0.26,0.01,0.355,0.111,-0.88,-0.139,-0.33,0.355,0.119,-0.321,0.001,0.094,0.044,-1.068,0.016,0.001,0.007,0.042,-0.002,-0.085,-11.953,0.0,-0.003,0.0,-0.038,-0.216,1.704,0.05,-1.114,-0.159,-0.208,-2.181,0.002,-0.047,-0.162,-5.299,0.0,-0.152,0.001,-0.117,-1.236,-0.149,-5.383,-0.001,-0.121,-0.007,-0.347,-0.207,0.339,-0.142,1.418,-0.825,-0.192,-0.916,-0.009,-0.087,-0.031,-7.184,-0.01,-0.031,-0.007,0.0,-1.072
gma-miR162c,0.266,-9.493,-0.001,0.127,0.01,0.241,0.108,-0.195,0.065,-0.38,0.219,0.064,-0.881,0.001,0.05,0.155,6.118,0.016,0.081,0.011,0.155,1.363,0.003,-13.192,-0.001,-0.102,0.0,-0.091,0.038,0.006,0.016,0.556,-0.025,-0.099,-2.416,0.03,-0.047,-0.117,1.358,0.0,-0.141,0.005,-0.12,-0.092,-0.022,-12.368,-0.001,-0.05,-0.005,-0.062,0.019,-1.393,-0.061,0.108,2.695,-0.046,-2.076,0.018,-0.037,-0.167,-4.839,-0.007,-0.113,-0.025,-0.13,-1.385
gma-miR166a-5p,0.163,-3.865,-0.0,0.111,0.008,0.313,-0.025,-0.334,-0.174,-0.662,-0.513,0.18,-0.05,0.001,0.089,0.129,-0.7,0.013,0.097,0.008,0.102,0.392,-0.032,1.1,-0.005,0.006,0.0,-0.108,0.038,-0.172,-0.002,3.067,0.152,0.079,-0.117,-0.006,-0.254,-0.067,2.626,0.003,-0.06,0.003,-0.056,0.081,-0.056,-20.274,0.001,0.006,0.0,-0.285,0.04,1.113,-0.11,-0.022,-0.393,0.084,-2.687,-0.03,-0.152,0.025,-6.819,0.001,-0.023,-0.004,0.118,-0.721
gma-miR166h-5p,0.163,-2.517,-0.001,0.114,0.008,0.313,0.036,0.194,-0.151,-0.662,-0.507,0.299,0.321,0.003,0.089,0.198,3.407,0.012,0.148,0.014,0.155,1.186,-0.032,3.85,-0.006,0.064,0.0,-0.108,0.108,-0.589,-0.137,3.178,0.151,0.094,0.16,-0.006,-0.254,-0.161,-0.326,0.003,-0.1,0.001,-0.117,-0.637,-0.056,-22.218,0.003,0.009,0.0,-0.285,0.115,0.766,0.073,0.155,-0.423,0.099,-3.216,-0.035,-0.152,-0.082,-10.311,0.0,-0.104,-0.007,0.053,-1.57
gma-miR166j-5p,0.163,-2.517,-0.001,0.114,0.008,0.313,0.036,0.194,-0.151,-0.662,-0.507,0.299,0.321,0.003,0.089,0.198,3.407,0.012,0.148,0.014,0.155,1.186,-0.032,3.85,-0.006,0.064,0.0,-0.108,0.108,-0.589,-0.137,3.178,0.151,0.094,0.16,-0.006,-0.254,-0.161,-0.326,0.003,-0.1,0.001,-0.117,-0.637,-0.056,-22.218,0.003,0.009,0.0,-0.285,0.115,0.766,0.073,0.155,-0.423,0.099,-3.216,-0.035,-0.152,-0.082,-10.311,0.0,-0.104,-0.007,0.053,-1.57
gma-miR168b,0.045,-8.752,-0.001,0.1,0.005,0.176,0.107,-1.356,-0.089,-1.792,0.663,0.104,-1.28,0.001,0.118,-0.008,-2.937,0.006,-0.048,0.009,0.031,-0.422,-0.015,-15.435,-0.001,-0.051,-0.002,-0.25,-0.184,-0.828,0.016,-1.471,2.092,-0.14,-3.258,-0.013,-0.32,-0.355,-11.591,0.0,-0.318,-0.016,-0.235,-2.791,-0.016,7.096,-0.005,-0.09,0.0,-0.2,-0.114,-5.604,0.077,7.518,-0.006,-0.016,0.908,-0.022,-0.149,-0.01,2.897,-0.001,0.028,-0.056,-0.071,0.241
gma-miR169j-5p,0.213,-1.149,-0.002,0.197,0.005,0.194,0.042,0.109,-0.125,-0.54,-1.389,0.147,0.666,-0.001,0.042,0.238,3.273,0.009,0.212,0.007,0.263,1.192,0.038,-17.017,-0.002,-0.181,-0.003,-0.117,-0.012,-2.792,0.012,6.942,0.038,-0.067,-3.169,-0.011,-0.208,-0.207,-12.145,-0.004,-0.242,-0.037,-0.111,-2.585,0.217,-11.815,0.001,-0.22,0.001,0.118,0.025,-1.875,0.096,7.031,0.775,-0.071,-2.826,-0.031,-0.015,-0.267,-14.614,0.0,-0.252,-0.067,-0.176,-3.103
gma-miR169k,0.213,-2.664,-0.002,0.169,0.005,0.194,0.078,0.107,-0.118,-0.463,-1.386,0.163,0.404,-0.001,0.042,0.232,2.849,0.009,0.2,0.007,0.258,1.113,0.038,-13.789,-0.001,-0.155,-0.003,-0.117,-0.029,-2.707,-0.012,6.658,-0.282,-0.05,-2.512,-0.013,-0.208,-0.151,-8.601,-0.004,-0.184,-0.037,-0.058,-1.912,0.217,-9.425,0.001,-0.13,0.001,0.118,0.062,-1.922,0.092,6.799,0.898,-0.053,-2.308,-0.035,-0.015,-0.206,-11.711,0.0,-0.204,-0.067,-0.115,-2.504
gma-miR169n-5p,0.161,-4.228,-0.001,0.222,0.005,0.194,0.316,0.173,0.014,-0.357,-0.947,0.296,0.369,-0.0,0.197,0.348,9.369,0.006,0.261,0.014,0.335,2.339,-0.085,0.677,0.0,-0.044,-0.004,-0.117,0.056,-3.414,-0.078,6.611,-0.562,0.091,-0.574,-0.014,-0.088,-0.139,-8.536,-0.007,-0.147,-0.038,-0.082,-1.731,-0.09,-5.111,-0.003,-0.077,-0.001,0.118,-0.006,-1.144,-0.01,7.437,0.145,0.037,-1.973,-0.033,-0.053,-0.426,-18.142,-0.004,-0.344,-0.064,-0.303,-4.054
ath-miR408-5p,0.036,-10.63,-0.001,0.055,0.0,0.091,0.119,-0.125,-0.097,-0.839,0.558,0.047,-1.282,0.001,0.199,0.044,-2.367,-0.0,-0.001,0.007,0.05,-0.173,-0.135,6.784,-0.002,-0.14,-0.001,-0.041,-0.041,1.234,-0.028,-2.243,-0.84,-0.006,0.619,-0.002,-0.067,-0.094,-2.273,-0.002,-0.092,0.011,-0.111,-0.422,0.028,17.664,-0.001,-0.09,0.0,0.019,-0.161,-2.048,0.027,-1.848,-1.064,-0.006,2.887,0.025,-0.152,0.177,8.992,0.001,0.153,0.01,0.062,2.027
ata-miR169,0.094,2.377,-0.001,0.266,0.002,0.166,0.091,-0.615,-0.182,-0.438,-1.029,0.161,1.278,-0.001,0.064,0.265,3.652,0.005,0.222,-0.001,0.208,1.345,-0.199,-29.311,-0.001,-0.053,-0.004,-0.035,-0.026,-1.41,0.194,-0.538,2.621,-0.085,-5.42,-0.016,-0.155,-0.444,-18.146,-0.008,-0.437,-0.032,-0.281,-4.104,0.003,-27.003,0.0,-0.173,-0.001,0.105,-0.028,2.324,-0.101,-6.05,-0.066,-0.09,-5.706,-0.011,-0.071,-0.554,-34.416,-0.003,-0.512,-0.02,-0.3,-6.738
ath-miR173-5p,0.295,-18.55,0.002,0.12,0.011,0.42,0.063,-0.887,-0.072,-1.49,0.107,0.192,-2.148,0.001,0.1,0.104,-2.282,0.017,0.029,0.001,0.145,0.027,0.153,7.359,-0.002,-0.011,0.005,0.232,0.105,-0.698,0.054,0.916,-0.254,-0.089,0.295,0.029,0.0,-0.135,-5.537,0.01,-0.103,0.0,-0.116,-1.258,0.161,-29.223,-0.005,-0.044,0.004,0.308,0.042,-1.652,-0.144,-0.731,0.077,-0.094,-4.389,0.007,0.083,-0.193,-12.805,0.008,-0.174,-0.023,-0.133,-2.407
ath-miR393a-5p,0.19,-5.784,0.001,0.225,0.006,0.34,0.17,-0.045,0.06,-0.872,0.647,0.12,-0.106,0.002,0.25,0.208,6.919,0.011,0.142,0.011,0.2,1.559,-0.168,-8.121,-0.001,-0.032,-0.006,0.042,-0.032,-1.078,-0.091,-0.455,-0.022,-0.084,-2.075,-0.02,-0.053,-0.355,-7.255,-0.01,-0.265,-0.023,-0.321,-1.921,-0.2,-12.17,0.0,-0.119,-0.004,-0.006,-0.033,0.292,-0.061,-3.306,-0.965,-0.033,-2.317,-0.019,-0.167,-0.308,-16.647,-0.008,-0.265,-0.006,-0.286,-2.937
ath-miR402,0.25,1.05,0.001,0.19,0.01,0.37,0.07,-0.238,-0.037,-0.323,-0.718,0.22,1.353,0.001,0.195,0.396,11.726,0.016,0.33,0.007,0.345,2.972,0.0,11.723,-0.002,-0.084,-0.004,-0.032,-0.039,-0.032,0.185,2.145,0.209,0.0,2.011,-0.004,0.1,0.16,10.264,-0.006,0.138,0.009,0.095,1.957,-0.056,2.017,0.001,-0.167,-0.01,-0.211,0.006,-0.294,-0.05,1.289,-0.028,-0.111,-0.154,-0.024,0.067,-0.054,-8.072,-0.017,-0.058,-0.012,0.033,-1.199
ath-miR417,0.197,-8.685,0.001,0.042,0.009,0.291,0.08,-1.032,-0.267,-0.518,-0.019,0.247,-0.901,-0.001,0.075,0.08,-5.543,0.011,0.042,0.007,0.089,-0.451,-0.123,5.034,-0.005,-0.012,-0.001,-0.009,-0.193,-2.688,0.059,7.427,-1.539,-0.018,0.367,-0.008,-0.143,-0.144,-0.877,-0.002,-0.093,-0.037,-0.184,-0.748,-0.099,-3.645,0.001,-0.012,-0.001,0.127,-0.087,-1.253,-0.002,5.882,-1.287,0.04,-0.743,-0.037,0.003,-0.073,-10.651,-0.005,-0.061,-0.05,-0.034,-1.679
bra-miR395b-5p,0.058,-5.119,-0.002,0.127,0.008,0.244,0.1,-0.316,-0.166,-0.62,0.017,0.166,-0.576,-0.001,0.089,0.033,-4.653,0.011,0.003,0.001,0.042,-0.481,-0.05,8.628,-0.002,-0.032,-0.001,0.091,-0.234,0.64,-0.013,1.161,0.356,-0.181,1.564,0.013,0.038,0.078,15.492,0.0,0.099,0.017,-0.012,2.41,0.006,19.419,0.0,-0.056,-0.001,-0.022,-0.133,0.765,-0.019,-2.173,-0.659,-0.087,3.341,0.018,-0.019,0.327,17.991,0.001,0.246,0.034,0.158,3.687
osa-miR159d,0.116,-6.719,-0.001,0.233,0.009,0.429,0.05,0.994,-0.18,-0.726,-0.067,0.224,-0.29,0.001,0.208,0.213,2.069,0.014,0.137,0.015,0.211,0.959,-0.155,-12.935,0.0,0.135,-0.002,0.12,-0.053,-1.397,-0.148,-0.588,1.946,-0.094,-2.738,-0.01,-0.114,-0.34,-11.746,-0.003,-0.253,-0.032,-0.222,-2.709,-0.105,-20.381,-0.002,0.084,-0.008,0.022,-0.053,-1.79,0.117,-0.669,0.587,-0.127,-3.124,-0.032,-0.077,-0.158,-12.126,-0.012,-0.112,-0.051,-0.059,-2.188
osa-miR319b,0.167,-5.429,-0.001,0.306,0.01,0.432,0.17,-0.436,-0.089,-0.395,0.634,0.083,-0.582,-0.0,0.228,0.076,0.085,0.015,0.03,0.007,0.065,0.258,-0.059,-23.442,0.0,0.088,0.0,0.17,0.007,-1.902,-0.025,-0.817,1.807,-0.118,-4.012,-0.012,-0.065,-0.313,-9.229,0.0,-0.25,-0.032,-0.216,-2.32,-0.062,-11.369,0.0,0.031,-0.005,0.132,-0.049,-1.164,0.002,-1.694,0.268,-0.063,-1.807,-0.042,0.028,-0.102,-13.674,-0.009,-0.064,-0.049,-0.021,-2.2
osa-miR396d,0.191,-3.452,0.002,0.108,0.014,0.399,0.247,-0.766,-0.07,-0.518,-0.817,0.38,-0.056,-0.001,0.194,0.145,1.847,0.017,0.099,0.004,0.158,0.733,-0.02,5.502,-0.004,-0.094,0.007,0.088,0.038,-2.682,-0.099,7.05,-1.374,0.178,0.233,-0.012,-0.129,-0.161,-8.133,0.005,-0.119,-0.046,-0.167,-1.732,-0.115,-1.275,0.003,-0.003,0.002,-0.037,0.099,-1.39,0.24,6.025,-1.142,0.13,-0.422,-0.01,-0.136,-0.118,-2.97,0.0,-0.119,-0.024,-0.118,-0.83
stu-miR169g,0.111,-0.211,-0.001,0.222,0.007,0.272,0.034,-0.578,-0.011,-0.296,-0.928,0.127,0.632,-0.0,0.08,0.146,5.751,0.01,0.145,-0.002,0.105,1.247,-0.085,-39.57,-0.001,-0.176,-0.004,0.007,0.036,-1.016,0.103,-0.941,2.624,-0.101,-7.258,-0.016,-0.176,-0.559,-24.86,-0.007,-0.552,-0.033,-0.356,-5.374,0.097,-31.121,-0.002,-0.219,0.002,0.139,-0.042,1.872,0.003,-7.299,-0.392,-0.045,-6.592,-0.013,-0.09,-0.585,-37.234,0.002,-0.572,-0.021,-0.309,-7.262
ath-miRf10317-akr,0.172,-27.508,-0.001,0.039,0.004,0.155,-0.017,-3.338,-0.147,-3.598,0.159,0.05,-3.565,-0.001,-0.017,0.006,-6.819,0.008,-0.042,-0.013,0.036,-0.849,0.044,21.562,0.0,-0.015,0.002,-0.029,0.094,-0.808,0.06,1.389,0.156,-0.003,3.035,0.001,-0.088,0.029,6.988,0.005,0.081,0.008,-0.058,1.052,0.077,-4.541,0.009,0.102,0.006,0.059,0.207,0.45,0.046,0.56,0.831,0.056,-1.074,-0.015,0.009,-0.071,-5.014,0.012,-0.084,0.017,0.071,-0.94
cre-miR910,0.05,-19.257,-0.002,-0.003,0.003,0.105,0.152,-0.996,-0.029,-3.227,-0.071,0.061,-2.888,-0.0,0.114,-0.043,-8.156,0.005,-0.111,0.002,0.011,-1.282,-0.003,14.422,0.0,-0.129,-0.005,-0.219,0.044,-3.198,-0.053,7.085,-2.327,-0.047,2.067,-0.002,-0.17,0.024,8.089,-0.008,0.035,-0.029,-0.152,1.19,0.012,-2.953,0.0,0.025,-0.007,-0.111,0.105,-1.24,0.008,5.774,2.473,-0.05,-0.573,-0.009,-0.121,-0.087,3.953,-0.01,-0.036,-0.037,-0.071,0.182
osa-miRf10761-akr,0.296,3.606,0.002,0.062,0.006,0.248,0.117,-0.753,-0.028,-0.501,0.039,0.144,1.394,0.0,0.206,0.301,7.16,0.011,0.244,0.004,0.24,1.982,-0.04,-2.488,-0.004,-0.06,0.001,0.058,0.035,-0.936,-0.166,-0.142,-1.132,0.048,-0.451,-0.004,-0.035,-0.047,-2.079,0.001,-0.055,-0.003,-0.042,-0.481,-0.172,-7.685,-0.003,-0.063,-0.005,0.026,-0.097,0.14,-0.052,-0.024,-0.566,-0.012,-1.09,0.003,-0.012,-0.044,7.68,-0.009,-0.073,0.009,-0.052,0.89
ath-miR398b-5p,0.141,-14.52,-0.001,0.155,0.003,0.147,0.343,-1.061,-0.085,-0.133,0.801,0.191,-1.479,-0.001,0.266,0.106,-2.308,0.003,0.065,0.002,0.133,0.042,0.094,0.562,0.004,0.108,-0.001,-0.026,0.345,-0.444,-0.026,1.222,-0.009,0.035,-0.219,0.029,0.073,-0.069,-2.271,0.0,-0.023,-0.002,-0.044,-0.691,0.04,-13.182,-0.002,0.056,-0.002,-0.043,0.288,1.018,-0.095,-0.087,-0.089,0.037,-2.215,0.025,0.034,-0.119,-9.662,-0.001,-0.123,0.002,-0.065,-1.759
ath-miR400,0.008,-4.269,0.001,0.089,0.0,0.166,-0.017,-1.737,0.032,-0.136,0.152,0.147,0.225,-0.001,0.139,0.18,5.155,0.001,0.154,0.002,0.169,1.476,-0.114,3.567,0.001,0.038,-0.002,0.02,-0.023,-0.441,0.02,1.181,0.212,0.026,0.708,0.03,0.035,0.067,5.277,-0.004,0.074,0.005,0.067,0.877,-0.003,-12.561,0.001,-0.019,-0.002,0.034,0.028,-0.279,-0.014,0.167,0.573,0.009,-2.051,0.005,0.003,-0.108,-12.864,-0.005,-0.086,-0.022,-0.015,-2.147
