,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
gma-miR1519,0.35,2.258,0.002,0.06,0.004,0.12,0.12,-1.407,0.032,-0.33,0.039,0.11,0.833,-0.001,0.09,0.188,6.405,0.007,0.142,0.002,0.14,1.55,0.084,2.088,0.002,-0.042,0.001,-0.011,-0.032,0.004,0.043,-2.632,-1.029,-0.095,0.038,-0.003,-0.011,-0.068,-7.431,0.001,-0.061,0.005,-0.063,-1.114,-0.033,-3.693,-0.005,-0.044,0.004,0.122,0.133,-0.415,-0.265,-1.278,-1.048,0.067,-0.744,0.017,0.011,-0.126,-12.521,0.004,-0.072,-0.003,-0.089,-2.005
bdi-miR7772-3p,0.211,-23.446,-0.003,0.157,0.009,0.376,0.052,0.317,0.017,-0.481,-0.215,0.095,-3.152,-0.002,0.132,0.019,-2.64,0.015,-0.044,0.001,0.079,-0.31,-0.076,9.146,-0.001,-0.026,0.001,0.078,-0.108,-2.478,0.094,6.318,-1.155,-0.043,0.817,-0.003,-0.08,-0.127,3.249,-0.001,-0.072,-0.031,-0.162,-0.056,-0.091,-2.858,-0.001,-0.077,-0.002,-0.009,-0.134,-1.176,0.036,5.559,-0.873,-0.027,-0.719,-0.003,-0.134,-0.112,-2.955,-0.004,-0.091,-0.031,-0.12,-0.924
gra-miR8706b,0.132,-10.866,0.0,0.0,0.009,0.31,0.085,0.446,0.25,-0.091,-0.029,0.31,-0.948,-0.001,0.091,0.137,9.668,0.009,0.076,0.007,0.091,1.764,-0.147,-11.989,-0.003,0.0,-0.004,-0.195,0.015,0.142,-0.161,0.667,-0.167,-0.108,-2.081,0.007,-0.165,-0.18,-2.535,-0.004,-0.158,0.001,-0.165,-0.888,-0.055,-7.741,0.0,0.0,-0.005,-0.355,0.089,-0.26,-0.179,-0.175,0.294,-0.173,-1.46,-0.014,-0.123,-0.181,-10.813,-0.002,-0.135,-0.013,-0.123,-2.048
tae-miR9668-5p,0.147,9.285,0.001,0.114,0.01,0.263,0.31,0.12,-0.057,-0.31,-0.219,0.391,2.054,0.0,0.161,0.234,4.961,0.01,0.198,0.019,0.233,1.516,-0.032,-16.111,-0.003,-0.082,0.004,-0.056,0.105,-1.352,0.044,-1.284,2.249,0.19,-2.667,-0.017,-0.108,-0.2,-10.351,0.002,-0.162,-0.023,-0.102,-2.18,0.158,-14.205,-0.002,-0.087,0.002,0.0,0.053,-4.269,-0.007,6.628,0.775,0.025,-3.236,-0.028,-0.173,-0.381,-16.312,0.004,-0.302,-0.075,-0.226,-3.683
gra-miR7484f,0.108,2.114,0.006,0.058,0.003,0.194,0.053,-2.002,0.065,-0.432,0.414,0.116,0.986,0.001,0.302,0.191,7.51,0.004,0.164,0.005,0.186,1.642,-0.243,7.904,0.002,-0.105,-0.004,-0.067,-0.167,-0.086,-0.064,-0.947,-1.637,-0.012,1.437,0.001,0.096,0.004,5.122,-0.01,0.034,0.001,-0.082,0.726,-0.08,0.942,-0.002,-0.034,-0.005,-0.012,0.0,-2.555,-0.148,0.985,-1.177,-0.096,0.273,-0.005,-0.015,0.017,1.486,-0.008,0.015,0.002,-0.037,0.243
gma-miR1507c-5p,0.172,-20.705,-0.001,0.0,0.008,0.302,0.125,-0.116,0.029,-0.252,0.308,0.302,-2.288,0.001,0.105,0.126,2.33,0.01,0.055,0.004,0.105,0.716,0.096,-2.803,0.0,0.0,0.004,0.038,0.187,0.913,-0.021,-0.643,-0.877,0.096,-0.73,-0.019,-0.111,-0.142,-4.214,0.007,-0.107,-0.01,-0.111,-0.963,0.102,-17.102,0.0,0.0,0.002,-0.139,0.282,-1.685,-0.031,1.563,-0.936,-0.015,-2.914,-0.03,-0.176,-0.241,-10.577,0.005,-0.197,-0.022,-0.176,-2.143
gra-miR7504n,0.244,0.998,0.002,0.058,0.001,0.12,0.041,-1.295,0.218,-0.174,-0.395,0.087,1.083,-0.001,0.227,0.345,13.707,0.004,0.255,0.006,0.277,3.024,0.065,-13.243,0.001,-0.035,-0.002,-0.039,-0.013,-0.703,0.07,1.069,-0.074,-0.1,-1.594,0.022,0.052,0.094,5.9,-0.002,0.024,0.005,0.074,1.2,0.105,-11.445,0.003,-0.036,0.003,0.036,-0.018,1.314,0.081,-4.214,-2.689,-0.055,-1.886,0.024,0.032,-0.097,-7.677,0.003,-0.084,0.004,-0.036,-1.388
aly-miR158a-5p,0.357,8.453,0.003,0.05,0.014,0.399,0.299,-0.608,0.009,-0.064,-0.171,0.416,1.754,0.002,0.163,0.204,7.325,0.017,0.158,0.01,0.116,1.71,0.044,-4.634,-0.003,-0.003,0.004,0.032,0.167,0.745,-0.057,0.365,0.396,0.155,-0.815,0.005,-0.05,-0.081,-0.654,0.008,-0.072,0.007,-0.099,-0.328,-0.13,-19.531,-0.004,0.056,0.001,-0.201,0.019,-1.381,-0.191,-0.567,0.028,-0.077,-3.067,-0.025,-0.111,-0.177,-11.97,0.005,-0.162,-0.02,-0.105,-2.183
gma-miR4387c,0.079,-17.412,0.002,0.132,0.003,0.093,0.079,-4.203,0.067,-1.667,-0.172,0.041,-2.378,-0.002,0.079,0.004,-3.149,0.005,-0.035,-0.008,0.058,-0.426,-0.013,-4.237,-0.003,0.022,0.001,0.052,-0.115,2.991,-0.047,-1.139,0.427,-0.147,-0.609,0.0,0.017,-0.003,-1.342,0.002,-0.01,0.01,-0.017,-0.168,-0.014,6.537,-0.008,0.05,0.001,0.107,-0.127,0.862,-0.006,5.289,-0.453,-0.055,0.729,-0.002,0.05,-0.004,3.709,0.0,-0.013,-0.009,-0.05,0.439
osa-miR810b.1,0.127,-19.379,0.0,0.116,0.0,0.053,0.141,-2.2,-0.027,-1.252,0.161,0.086,-2.401,-0.002,0.108,0.079,-4.22,0.001,0.04,0.0,0.208,-0.301,-0.053,20.333,0.003,0.012,-0.001,-0.05,0.023,1.209,-0.177,-2.497,-0.539,-0.02,3.073,-0.001,-0.029,0.088,2.613,-0.001,0.098,0.015,-0.006,0.805,-0.04,4.199,-0.004,0.012,0.002,0.071,0.084,-0.05,0.019,-1.743,-0.308,0.037,0.546,0.027,-0.09,-0.039,3.755,0.003,-0.037,0.01,-0.183,0.576
sly-miR9473-5p,0.443,-0.865,0.003,0.086,0.007,0.211,0.141,-1.212,0.151,-0.59,-0.697,0.033,0.598,0.0,0.18,0.321,12.796,0.013,0.225,0.008,0.271,2.798,0.023,0.465,-0.002,-0.076,-0.007,-0.222,-0.035,-1.924,-0.133,7.494,-1.042,-0.076,-0.104,-0.01,0.009,0.021,-0.673,-0.01,0.008,-0.034,0.041,-0.116,-0.269,-2.428,0.001,-0.115,-0.013,-0.294,-0.105,-3.166,-0.396,6.762,-0.862,-0.08,-0.563,-0.039,0.09,-0.141,-20.148,-0.024,-0.064,-0.064,-0.04,-3.21
bdi-miR5163b-5p,0.258,5.665,0.001,0.327,0.007,0.263,0.296,-0.527,0.038,-0.014,0.608,0.302,1.833,-0.002,0.042,0.381,9.828,0.01,0.288,0.01,0.327,2.626,-0.289,12.57,0.003,0.205,-0.007,-0.222,0.091,-0.814,0.058,0.865,0.108,0.096,2.622,0.005,-0.012,0.267,14.118,-0.009,0.217,0.011,0.211,2.722,-0.424,12.703,0.003,0.214,-0.007,-0.294,-0.022,-2.014,0.086,0.201,-1.317,-0.015,2.833,-0.001,-0.012,0.265,22.351,-0.011,0.236,0.011,0.173,3.878
gma-miR10437,0.295,-3.46,-0.002,0.06,0.004,0.085,0.295,-1.527,-0.175,0.01,0.345,0.17,-0.408,-0.002,0.06,0.016,-5.873,0.007,0.01,-0.001,0.05,-0.63,0.137,-10.062,-0.006,-0.095,0.0,-0.074,0.095,1.245,-0.158,-0.492,0.639,0.063,-1.914,-0.004,-0.042,-0.19,-8.554,0.001,-0.136,-0.005,-0.105,-1.899,0.033,-1.111,0.003,-0.044,0.003,-0.022,-0.078,-0.02,0.003,0.433,0.629,0.044,-0.368,0.014,-0.044,-0.087,-8.899,0.0,-0.066,-0.005,-0.056,-1.501
ath-miR8182,0.04,-12.579,0.0,0.06,0.002,0.06,-0.002,-2.104,-0.102,-1.073,0.158,0.09,-1.616,-0.001,0.04,0.05,-2.384,0.003,0.007,-0.002,0.11,-0.194,-0.011,2.866,-0.002,-0.042,-0.001,-0.111,-0.032,0.805,-0.179,-2.611,-0.947,-0.216,0.086,-0.008,-0.032,-0.109,-12.017,0.002,-0.07,-0.004,-0.105,-1.842,-0.011,1.256,-0.002,-0.044,0.003,-0.078,-0.094,-1.589,-0.03,-3.689,-1.046,-0.111,0.421,-0.035,0.0,-0.058,-11.092,0.009,0.001,-0.023,-0.122,-1.483
osa-miR2879,0.285,4.118,0.003,0.211,0.002,0.095,0.211,-1.31,0.256,-0.083,-0.374,0.157,1.692,-0.002,0.079,0.345,15.003,0.005,0.286,0.003,0.277,3.231,0.061,5.864,0.004,0.004,-0.001,-0.139,0.078,0.966,0.136,-0.528,0.343,0.022,1.342,-0.003,-0.013,0.184,6.568,-0.001,0.135,0.008,0.16,1.538,0.055,-14.747,-0.002,-0.034,0.001,-0.084,-0.018,0.868,0.114,-1.007,0.485,0.023,-1.785,-0.031,0.036,0.072,-4.815,0.002,0.026,-0.013,0.1,-0.423
ptc-miR6442,0.197,-5.254,0.004,0.086,0.007,0.233,0.147,-1.3,-0.147,-0.532,-0.663,0.18,-0.204,-0.003,0.155,0.173,-0.521,0.009,0.124,-0.001,0.177,0.461,-0.181,-11.23,-0.002,-0.02,-0.001,-0.073,-0.184,0.235,-0.071,-1.67,-0.169,-0.015,-1.69,0.001,-0.24,-0.108,-7.02,-0.002,-0.094,-0.009,-0.082,-1.294,-0.279,-14.551,0.001,-0.022,-0.004,-0.105,-0.142,-0.127,0.038,-1.269,0.16,-0.074,-2.063,0.03,-0.152,-0.109,-1.53,-0.005,-0.095,0.009,-0.077,-0.466
osa-miR11341-5p,0.136,-8.836,0.006,0.097,0.009,0.314,0.045,-1.317,-0.099,-1.541,-0.229,0.36,-0.084,0.002,0.157,0.339,7.059,0.01,0.255,0.008,0.312,2.13,-0.095,15.987,0.0,-0.117,0.001,-0.052,0.141,0.78,0.134,0.632,-0.077,0.212,2.19,0.014,-0.026,0.058,10.612,0.0,0.02,0.021,-0.056,1.6,-0.075,-8.102,-0.003,-0.123,0.002,-0.152,0.145,0.565,0.01,-0.7,0.61,0.1,-1.466,-0.004,-0.077,-0.084,-1.251,0.003,-0.14,0.008,-0.159,-0.351
mtr-miR2642,0.147,-6.362,-0.001,0.058,0.004,0.208,0.141,-0.186,0.207,-0.26,0.036,0.141,-0.778,-0.004,0.127,0.02,3.124,0.004,-0.002,0.001,0.003,0.593,-0.067,-10.006,-0.004,-0.05,-0.004,-0.117,-0.026,-1.073,-0.169,1.202,-0.066,-0.143,-1.979,0.022,0.038,-0.229,-8.58,-0.008,-0.168,-0.012,-0.132,-2.013,0.028,13.575,0.003,0.006,-0.003,-0.189,-0.096,-1.189,-0.244,-1.48,-0.901,-0.152,1.843,0.021,-0.003,0.022,-6.119,-0.002,0.054,0.004,0.012,-0.692
atr-miR8558a,0.19,-3.847,0.0,0.21,0.008,0.21,0.05,-0.956,-0.118,-1.01,-0.417,0.22,0.306,0.0,0.05,0.318,3.771,0.012,0.247,0.01,0.4,1.578,-0.011,-3.502,-0.003,-0.253,-0.005,-0.095,-0.126,0.439,-0.052,1.853,-1.319,-0.074,-0.847,-0.005,-0.053,-0.142,-4.644,-0.009,-0.105,-0.003,-0.105,-1.115,-0.122,-0.286,-0.003,-0.333,-0.01,-0.156,0.078,-2.041,0.078,1.333,3.03,-0.156,-1.403,-0.01,-0.056,-0.493,-11.583,-0.018,-0.361,-0.036,-0.5,-3.19
osa-miR2102-5p,0.185,-7.556,-0.002,0.111,0.002,0.111,0.13,-1.782,-0.042,-2.91,-1.918,0.0,-0.861,0.0,0.114,0.114,0.17,0.006,0.055,-0.003,0.185,0.39,-0.039,-18.802,-0.004,-0.059,-0.001,-0.059,-0.02,-1.913,0.029,-1.781,-2.329,0.0,-2.929,0.031,-0.088,-0.082,-5.399,0.001,-0.134,0.01,0.046,-0.974,-0.104,14.231,0.008,0.125,0.005,0.25,0.021,2.966,-0.04,5.938,5.965,0.0,2.359,0.02,0.076,0.025,10.348,0.005,0.133,0.015,-0.049,1.497
fve-miR477b,0.061,-11.943,0.0,0.094,0.004,0.086,0.199,-2.727,-0.048,-3.842,1.092,0.249,-1.514,-0.001,0.127,0.073,-8.663,0.004,0.027,-0.008,0.247,-1.026,-0.047,19.386,-0.004,-0.073,-0.004,-0.099,-0.018,-0.919,0.044,9.0,-0.725,0.041,3.059,-0.009,-0.012,0.058,9.433,-0.006,0.143,-0.036,-0.044,1.362,-0.05,8.999,0.004,-0.025,-0.003,-0.012,-0.142,-3.921,-0.019,4.471,-1.154,0.043,1.443,-0.029,-0.05,0.052,-6.081,-0.005,0.048,-0.039,0.043,-0.682
tae-miR9664-3p,0.075,-9.251,0.0,0.144,0.007,0.136,0.003,-1.872,-0.114,-0.792,-0.037,0.025,-1.127,0.002,-0.042,0.001,-1.272,0.01,-0.022,0.009,-0.006,-0.128,-0.088,-5.11,-0.005,-0.07,0.001,-0.035,-0.161,-1.319,0.145,-2.05,-1.178,-0.158,-0.567,0.001,-0.07,-0.001,9.477,0.002,-0.021,0.004,-0.114,1.299,-0.093,-2.377,-0.002,-0.043,-0.004,-0.108,0.009,2.525,0.022,-2.158,-1.102,-0.05,-0.193,0.003,0.133,0.083,10.855,-0.007,0.059,0.019,0.121,1.591
lja-miR7516-3p,0.116,-19.506,0.003,0.233,0.007,0.316,-0.03,-3.486,0.022,-1.947,0.304,0.058,-2.452,-0.001,0.091,0.052,-2.246,0.012,-0.001,-0.005,0.102,-0.154,-0.018,3.211,-0.004,0.079,0.004,0.167,0.006,2.467,0.069,-1.33,0.025,-0.105,0.322,0.01,0.015,0.004,-0.744,0.008,-0.02,0.015,-0.047,-0.103,-0.05,5.15,-0.004,0.084,0.006,0.118,-0.053,2.08,0.055,-2.718,-1.556,-0.053,1.431,0.016,-0.012,0.179,17.676,0.01,0.164,0.023,0.022,3.008
smo-miR1091,0.033,-6.286,0.0,0.028,0.006,0.244,-0.025,0.408,0.038,-0.291,-0.236,0.296,0.014,0.002,0.158,0.266,6.92,0.006,0.179,0.015,0.238,1.782,-0.132,4.751,0.001,0.029,0.0,0.137,-0.231,-0.793,-0.116,-0.596,-0.728,0.035,0.524,0.032,-0.056,-0.054,-1.979,-0.001,-0.051,0.012,-0.009,-0.359,0.037,12.999,0.001,0.04,-0.003,0.229,-0.118,2.417,0.046,1.127,-0.102,-0.139,1.966,0.051,0.059,0.086,12.682,-0.003,0.068,0.038,0.009,2.007
osa-miR5796,0.091,-5.057,0.0,0.224,0.004,0.26,0.019,-0.32,-0.097,-1.136,-0.952,0.222,0.211,-0.004,0.091,0.284,0.656,0.007,0.238,-0.001,0.316,0.997,-0.152,-35.88,-0.003,0.041,-0.006,-0.111,-0.146,0.186,-0.087,-7.0,-2.833,-0.044,-5.824,0.007,-0.126,-0.247,-21.439,-0.008,-0.26,0.005,0.0,-3.87,-0.012,5.446,0.0,0.102,-0.003,-0.173,0.012,-0.305,0.202,3.461,-2.082,-0.077,0.537,-0.007,-0.015,-0.083,-4.755,-0.005,-0.01,-0.024,-0.059,-1.081
fve-miR11290,0.233,2.236,0.004,0.055,0.002,0.186,0.233,-1.212,0.062,-0.468,0.164,0.05,1.022,0.001,0.249,0.215,6.619,0.005,0.182,0.009,0.141,1.619,-0.032,0.002,0.003,-0.02,0.0,0.038,-0.047,0.55,-0.031,-1.409,-0.309,-0.003,0.01,0.0,0.015,-0.012,-2.791,0.001,0.005,0.003,-0.006,-0.417,-0.152,-9.646,0.005,0.096,0.003,0.108,-0.139,0.781,0.024,0.514,-0.178,0.012,-1.27,0.034,-0.071,-0.019,-0.999,0.004,-0.007,0.011,0.059,-0.327
gra-miR8723b,0.153,-5.446,0.0,0.112,0.0,0.012,0.231,-2.359,0.046,-0.802,-0.481,0.136,-0.393,-0.001,0.157,0.182,5.898,0.001,0.113,0.006,0.231,1.409,-0.139,-18.354,-0.001,-0.104,-0.003,-0.121,-0.186,-0.532,-0.073,-5.312,-2.033,-0.095,-3.262,0.001,-0.026,-0.238,-17.847,-0.007,-0.225,0.002,-0.147,-3.19,-0.059,-4.846,0.004,-0.109,0.002,0.082,-0.207,2.212,-0.165,-3.177,-1.097,-0.177,-1.615,-0.013,-0.027,-0.336,-24.436,0.002,-0.252,-0.004,-0.255,-4.49
mtr-miR5562-3p,0.242,-8.748,-0.001,0.048,0.004,0.183,0.097,-1.014,-0.126,-0.574,-0.453,0.131,-1.092,0.001,0.087,0.053,-1.668,0.009,0.009,0.001,0.052,-0.038,-0.055,-7.419,0.001,0.051,0.002,0.033,0.096,0.082,0.196,0.445,0.504,0.037,-1.488,0.014,-0.044,-0.037,8.066,0.005,-0.111,0.021,-0.066,0.953,-0.192,19.848,-0.001,0.122,-0.002,-0.004,0.153,1.896,-0.032,4.114,0.439,-0.004,3.681,0.041,0.141,0.218,22.434,-0.003,0.257,0.032,0.067,3.853
osa-miR1882e-3p,0.217,-1.898,0.005,0.062,0.008,0.264,0.041,-1.574,0.041,-0.302,-0.232,0.095,0.124,-0.001,0.105,0.092,4.229,0.012,0.07,-0.001,0.081,0.857,-0.136,-3.543,0.0,-0.078,-0.003,-0.095,-0.1,-0.616,-0.168,-1.121,-0.824,-0.043,-0.329,-0.001,-0.08,-0.062,-0.746,-0.006,-0.019,-0.001,-0.058,-0.315,-0.075,-5.408,-0.002,-0.082,-0.007,-0.141,-0.005,-1.119,-0.062,1.527,-1.118,-0.045,-0.643,-0.008,-0.034,0.047,1.545,-0.011,0.026,0.001,0.089,0.187
gra-miR8675b,0.114,-13.143,-0.001,0.12,0.004,0.124,0.134,-2.841,-0.008,-0.178,0.014,0.004,-1.797,-0.002,0.215,0.02,-1.903,0.006,-0.019,-0.004,0.027,-0.225,-0.024,-11.314,-0.002,0.03,-0.002,0.048,0.002,0.358,-0.016,-0.671,-0.267,-0.091,-1.785,-0.023,0.143,-0.104,-8.66,-0.005,-0.09,-0.016,-0.08,-1.487,-0.025,22.119,0.001,0.032,-0.005,0.157,-0.043,0.413,0.106,2.386,0.053,-0.014,3.168,-0.031,0.182,0.058,1.763,-0.009,0.092,-0.01,0.059,0.364
osa-miR1320-3p,0.393,2.378,0.004,0.139,0.009,0.283,0.258,-1.042,-0.185,-0.452,-0.205,0.155,0.753,-0.001,0.072,0.164,-0.381,0.014,0.114,0.009,0.161,0.563,0.026,-10.93,-0.003,-0.132,-0.003,-0.047,-0.123,-1.633,0.247,0.956,-0.13,-0.237,-1.851,0.024,-0.023,-0.196,0.228,-0.002,-0.129,-0.015,-0.184,-0.764,-0.115,-18.449,-0.004,-0.08,-0.003,-0.062,-0.074,-1.199,-0.393,-1.235,2.444,-0.087,-3.133,0.007,-0.025,-0.238,-21.308,-0.006,-0.162,-0.03,-0.077,-3.775
seu-miR11047,0.02,-19.135,-0.002,0.21,0.002,0.19,0.135,0.542,0.053,-0.24,0.61,0.06,-2.082,-0.002,0.22,0.101,-1.429,0.003,0.058,0.004,0.135,0.05,-0.105,-8.072,0.001,0.026,-0.004,0.116,0.037,-0.432,0.044,-0.821,2.232,0.011,-1.149,-0.009,0.126,-0.06,-3.606,-0.008,-0.04,-0.014,-0.011,-0.817,0.0,20.289,0.003,-0.067,0.0,0.233,0.031,2.814,0.008,-1.644,1.795,0.139,2.519,0.004,0.189,-0.035,-1.877,-0.001,0.012,0.004,-0.006,-0.53
ath-miR5645b,0.136,-2.478,0.004,0.062,0.003,0.16,0.093,-1.358,0.168,-0.5,-0.125,0.148,0.187,-0.001,0.056,0.148,8.991,0.005,0.124,0.008,0.13,1.811,-0.15,5.306,0.001,-0.052,-0.004,-0.242,-0.059,-1.355,0.129,0.608,0.333,-0.15,1.048,0.01,-0.059,0.119,12.892,-0.003,0.075,0.01,0.02,2.114,-0.16,2.489,0.001,-0.056,-0.001,-0.257,-0.042,0.581,0.066,-0.583,-0.718,-0.111,0.598,0.003,-0.062,0.035,16.928,-0.001,0.027,0.015,-0.042,2.284
ppt-miR1053-5p,0.227,1.279,-0.001,0.107,0.007,0.312,0.223,0.025,0.129,0.0,0.4,0.143,0.706,0.0,0.314,0.185,8.362,0.01,0.147,0.006,0.157,1.72,-0.069,-3.2,-0.003,0.017,-0.006,0.0,0.093,-1.794,-0.124,2.286,-0.28,-0.108,-0.587,-0.009,0.091,-0.09,-4.494,-0.01,-0.057,-0.005,-0.074,-0.871,-0.223,-5.503,0.0,-0.032,-0.005,-0.043,0.05,1.246,-0.12,1.745,-0.617,-0.084,-1.451,-0.006,-0.025,-0.259,-11.404,-0.01,-0.211,-0.003,-0.184,-2.445
ppe-miR6289,0.147,0.113,-0.001,0.233,0.01,0.352,0.089,-0.695,0.01,-0.41,-0.536,0.155,0.669,-0.001,0.197,0.257,8.219,0.014,0.195,0.003,0.199,2.013,-0.067,-17.751,-0.001,0.064,-0.001,-0.018,-0.073,-1.906,-0.183,-0.792,-0.702,-0.225,-3.243,-0.022,-0.181,-0.324,-15.075,-0.001,-0.262,-0.03,-0.246,-3.059,-0.13,-2.916,-0.002,-0.028,-0.005,-0.019,-0.186,-0.766,-0.014,2.241,-0.168,-0.192,-1.329,-0.034,-0.192,-0.342,-21.232,-0.009,-0.283,-0.027,-0.266,-3.971
osa-miR1853-5p,0.165,7.278,0.0,0.188,0.006,0.196,0.196,-0.961,-0.202,-0.595,0.301,0.248,1.804,-0.001,0.041,0.289,3.137,0.009,0.222,0.009,0.231,1.412,-0.113,-20.347,-0.006,-0.203,-0.002,-0.087,-0.147,1.098,-0.141,-0.03,0.314,-0.169,-3.668,-0.003,0.0,-0.314,-10.837,-0.003,-0.27,-0.003,-0.216,-2.56,-0.08,-14.578,0.0,-0.184,-0.001,-0.098,-0.255,0.037,0.08,-1.155,-1.396,-0.327,-2.909,-0.014,0.0,-0.343,-6.107,-0.002,-0.277,-0.011,-0.243,-1.899
ptc-miR477c,0.31,11.427,0.0,0.16,0.015,0.55,0.41,1.866,0.053,0.07,0.479,0.5,2.821,0.002,0.475,0.473,16.154,0.017,0.353,0.023,0.345,3.755,0.132,4.709,-0.004,0.011,0.005,0.321,0.242,1.113,-0.165,0.726,-0.212,0.158,0.806,0.011,0.276,0.028,3.503,0.005,0.03,0.014,-0.008,0.58,0.006,11.411,-0.001,-0.044,-0.004,0.122,-0.022,0.209,-0.121,1.597,-1.221,-0.167,1.696,0.019,0.181,-0.033,11.55,-0.006,0.005,0.023,-0.119,1.547
vvi-miR3635-5p,0.224,13.979,0.004,0.061,0.001,0.036,0.097,-1.515,0.024,-0.535,0.306,0.091,3.53,-0.001,0.366,0.491,10.844,0.001,0.437,0.009,0.421,3.111,0.126,5.801,0.002,-0.035,0.001,-0.003,0.056,1.024,-0.006,0.632,-0.997,-0.015,1.658,-0.007,0.152,0.281,19.804,0.002,0.213,0.009,0.222,3.587,0.102,14.761,0.003,-0.025,0.001,0.012,0.059,-2.37,0.036,-1.279,-2.888,-0.015,2.698,-0.016,0.043,0.247,16.709,0.003,0.203,0.009,0.118,3.265
osa-miR1847.1,0.075,1.81,-0.003,0.094,0.004,0.053,0.205,-1.788,-0.067,-0.476,-0.34,0.305,0.544,-0.003,0.022,0.126,2.942,0.004,0.05,0.001,0.102,0.801,-0.088,-10.699,-0.001,-0.05,-0.002,-0.111,-0.056,-1.217,-0.027,0.652,-0.13,-0.012,-1.598,0.017,-0.102,-0.078,-3.511,-0.002,-0.083,-0.003,-0.053,-0.745,-0.077,-17.419,0.0,-0.093,-0.004,-0.059,-0.176,1.026,-0.131,-4.26,-2.381,-0.248,-2.872,0.009,0.068,-0.191,-12.12,-0.004,-0.127,0.001,-0.111,-2.293
vvi-miR3630-5p,0.05,-13.688,0.003,0.055,0.0,0.036,0.042,-2.236,-0.055,-0.277,0.113,0.094,-1.426,-0.001,0.066,0.063,-0.363,0.0,0.039,-0.001,0.094,0.176,-0.17,-0.958,-0.004,-0.143,-0.002,-0.114,-0.029,1.894,-0.024,-1.325,0.639,-0.012,-0.516,0.0,-0.067,-0.097,-10.905,-0.005,-0.098,0.008,-0.079,-1.8,-0.136,-15.488,-0.001,-0.071,-0.001,-0.046,-0.09,2.381,0.001,-2.031,0.958,-0.071,-2.347,-0.023,-0.012,-0.11,-5.763,-0.001,-0.11,-0.008,-0.09,-1.221
ptc-miR6430,0.144,-6.534,0.001,0.061,0.0,0.036,0.089,-0.773,0.111,-0.332,-0.22,0.094,-0.258,-0.003,0.055,0.2,9.111,0.002,0.134,0.001,0.161,1.911,-0.254,-13.04,0.001,0.009,-0.007,-0.339,-0.023,-0.459,0.195,0.792,0.745,-0.178,-1.668,0.006,-0.085,0.061,8.389,-0.01,0.006,0.011,0.038,1.422,-0.17,9.167,-0.001,0.068,0.001,0.0,0.028,0.863,-0.024,2.916,0.54,0.087,1.467,0.031,0.028,0.07,8.887,0.004,0.082,0.018,0.04,1.259
gma-miR10439,0.125,-15.961,0.001,0.094,0.002,0.094,-0.019,-1.056,0.034,-0.767,-0.658,0.058,-1.31,0.001,0.039,0.216,5.541,0.005,0.161,-0.001,0.194,1.479,0.012,0.33,-0.001,-0.123,-0.001,-0.137,0.035,1.116,-0.106,-5.336,-1.354,0.006,-1.045,0.003,-0.152,-0.188,-19.086,-0.002,-0.214,0.007,-0.082,-3.211,-0.056,-16.039,0.0,-0.071,-0.002,-0.102,-0.046,1.109,0.007,-4.009,-1.484,0.124,-2.625,-0.003,-0.071,-0.21,-18.344,-0.004,-0.182,0.009,-0.096,-3.356
bra-miR5719,0.127,-12.956,0.004,0.05,0.006,0.102,0.0,-2.386,-0.041,-0.197,-0.029,0.075,-1.314,-0.002,0.086,0.055,0.216,0.006,0.047,0.0,0.094,0.278,0.079,0.989,-0.001,0.053,0.0,0.056,-0.056,0.528,0.088,0.497,0.704,-0.102,0.456,0.012,0.003,0.096,11.247,0.0,0.063,0.016,0.023,1.9,0.142,19.353,-0.002,0.115,-0.002,0.18,0.059,2.201,-0.045,3.947,1.455,-0.006,2.417,0.0,0.028,0.031,7.001,-0.002,0.043,0.012,0.003,0.867
